2018 rank,City,State,2018 estimate,2010 census,Percentage Change,2016 land area km2,2016 population density per km2,Time zone,Website
171,Kansas City, Kansas,152958,145786,+4.92,323.2 ,470,UTC−6 (CST),http://wycokck.org
172,Pomona, California,152361,149058,+2.22,59.6 ,"2,560",UTC−8 (Pacific),http://www.ci.pomona.ca.us
173,Escondido, California,152213,143911,+5.77,96.1 ,"1,578",UTC−8 (Pacific),http://www.escondido.org
174,Killeen, Texas,149103,127921,+16.56,138.6 ,"1,030",UTC-6 (Central (CST)),http://www.killeentexas.gov
175,Naperville, Illinois,148304,141853,+4.55,100.2 ,"1,468",UTC−6 (CST),http://www.naperville.il.us
176,Joliet, Illinois,148099,147433,+0.45,166.8 ,889,UTC-6 (CST),http://www.cityofjoliet.info/
177,Bellevue, Washington,147599,122363,+20.62,86.8 ,"1,630",UTC−8 (PST),http://www.bellevuewa.gov
178,Rockford, Illinois,146526,152871,−4.15,164.5 ,898,UTC−6 (CST),https://rockfordil.gov/
179,Savannah, Georgia,145862,136286,+7.03,268.3 ,547,UTC−5 (EST),http://www.savannahga.gov/
180,Paterson, New Jersey,145627,146199,−0.39,21.8 ,"6,800",UTC−5 (Eastern (EST)),http://www.patersonnj.gov
181,Torrance, California,145182,145438,−0.18,53.1 ,"2,770",UTC−8 (Pacific),http://www.torranceca.gov
182,Bridgeport, Connecticut,144900,144229,+0.47,41.7 ,"3,500",UTC-5 (Eastern),http://bridgeportct.gov/
183,McAllen, Texas,143433,129877,+10.44,151.3 ,940,UTC−6 (CST),http://www.mcallen.net
184,Mesquite, Texas,142816,139824,+2.14,122.2 ,"1,176",UTC-6 (CST),http://cityofmesquite.com
185,Syracuse, New York,142749,145170,−1.67,64.7 ,"2,214",UTC−5 (Eastern),http://www.syrgov.net
186,Midland, Texas,142344,111147,+28.07,192.7 ,698,UTC−6 (CST),http://www.midlandtexas.gov
187,Pasadena, California,141371,137122,+3.10,59.6 ,"2,385",UTC−8 (Pacific),http://www.cityofpasadena.net
188,Murfreesboro, Tennessee,141344,108755,+29.97,144.8 ,910,UTC−6 (CST),http://www.murfreesborotn.gov
189,Miramar, Florida,140823,122041,+15.39,76.1 ,"1,818",UTC-5 (EST),http://www.miramarfl.gov
190,Dayton, Ohio,140640,141527,−0.63,144.3 ,974,UTC-5 (EST),http://daytonohio.gov
191,Fullerton, California,139640,135161,+3.31,58.0 ,"2,425",UTC-8 (PST),http://www.ci.fullerton.ca.us
192,Olathe, Kansas,139605,125872,+10.91,157.7 ,859,UTC-6 (CST),http://www.olatheks.org/
193,Orange, California,139484,136416,+2.25,65.8 ,"2,136",UTC−08:00 (Pacific),http://www.cityoforange.org
194,Thornton, Colorado,139436,118772,+17.40,92.5 ,"1,478",UTC−7 (MST),http://www.cityofthornton.net/
195,Roseville, California,139117,118788,+17.11,111.4 ,"1,191",UTC−8 (Pacific),http://www.roseville.ca.us
196,Denton, Texas,138541,113383,+22.19,241.9 ,553,UTC-6 (CST),http://www.cityofdenton.com/
197,Waco, Texas,138183,124805,+10.72,230.5 ,580,UTC−6 (Central),http://www.waco-texas.com/
198,Surprise, Arizona,138161,117517,+17.57,279.5 ,470,UTC-7 (MST (no DST)),http://www.surpriseaz.gov
199,Carrollton, Texas,136879,119097,+14.93,94.0 ,"1,419",UTC-6 (Central),http://www.cityofcarrollton.com
200,West Valley City, Utah,136401,129480,+5.35,91.9 ,"1,485",UTC−7 (Mountain (MST)),http://www.wvc-ut.gov/
201,Charleston, South Carolina,136208,120083,+13.43,282.3 ,476,UTC-5 (EST),http://www.charleston-sc.gov
202,Warren, Michigan,134587,134056,+0.40,89.1 ,"1,517",UTC-5 (Eastern (EST)),http://www.cityofwarren.org/
203,Hampton, Virginia,134313,137436,−2.27,133.4 ,"1,015",UTC-5 (EST),http://www.hampton.gov
204,Gainesville, Florida,133857,124354,+7.64,161.4 ,815,UTC−5 (EST),http://www.cityofgainesville.org
205,Visalia, California,133800,124442,+7.52,97.1 ,"1,349",UTC-8 (PST),http://www.ci.visalia.ca.us
206,Coral Springs, Florida,133507,121096,+10.25,61.6 ,"2,110",UTC-5 (EST),http://www.coralsprings.org/
207,Columbia, South Carolina,133451,129272,+3.23,345.8 ,388,UTC-5 (Eastern (EST)),http://www.columbiasc.net
208,Cedar Rapids, Iowa,133174,126326,+5.42,183.4 ,715,UTC-6 (CST),http://www.cedar-rapids.org/
209,Sterling Heights, Michigan,132964,129699,+2.52,94.5 ,"1,401",UTC−5 (Eastern (EST)),http://www.sterling-heights.net/
210,New Haven, Connecticut,130418,129779,+0.49,48.4 ,"2,683",UTC−5 (Eastern),http://www.newhavenct.gov
211,Stamford, Connecticut,129775,122643,+5.82,97.4 ,"1,326",UTC-5 (Eastern),http://www.stamfordct.gov/
212,Concord, California,129688,122067,+6.24,79.0 ,"1,630",UTC−8 (Pacific),http://www.ci.concord.ca.us
